variable;monsterdiepte;parameter;compartiment;zone;eenheid;methode;varnames
N-NO2_CC_mg/kg_OR_25;0-25;N-NO2;OR;;mg/kg;calciumchloride;N-NO2_CC_mg/kg_OR_25
N-NO2_CC_mg/kg_OR_50;25-50;N-NO2;OR;;mg/kg;calciumchloride;N-NO2_CC_mg/kg_OR_50
N-NO2_CC_mg/kg_SB;0-25;N-NO2;SB;;mg/kg;calciumchloride;N-NO2_CC_mg/kg_SB
N-NO3_CC_mg/kg_OR_25;0-25;N-NO3;OR;;mg/kg;calciumchloride;N-NO3_CC_mg/kg_OR_25
N-NO3_CC_mg/kg_OR_50;25-50;N-NO3;OR;;mg/kg;calciumchloride;N-NO3_CC_mg/kg_OR_50
N-NO3_CC_mg/kg_SB;0-25;N-NO3;SB;;mg/kg;calciumchloride;N-NO3_CC_mg/kg_SB
NA_CO_mmol+/kg_OR_25;0-25;Na;OR;;mmol+/kg;cohex;NA_CO_mmol+/kg_OR_25
NA_CO_mmol+/kg_OR_50;25-50;Na;OR;;mmol+/kg;cohex;NA_CO_mmol+/kg_OR_50
NH4_µmol/l_OW;10-15;NH4;OW;;µmol/l;icp Bware;NH4_µmol/l_OW
NH4_µmol/l_PW;0-25;NH4;PW;;µmol/l;icp Bware;NH4_µmol/l_PW
NI_CO_mmol+/kg_OR_25;0-25;NI;OR;;mmol+/kg;cohex;NI_CO_mmol+/kg_OR_25
NI_CO_mmol+/kg_OR_50;25-50;NI;OR;;mmol+/kg;cohex;NI_CO_mmol+/kg_OR_50
NO3_µmol/l_OW;10-15;NO3;OW;;µmol/l;icp Bware;NO3_µmol/l_OW
NO3_µmol/l_PW;0-25;NO3;PW;;µmol/l;icp Bware;NO3_µmol/l_PW
Na2O_xrf_g/kg_OR_25;0-25;Na2O;OR;;g/kg;xrf;Na2O_xrf_g/kg_OR_25
Na2O_xrf_g/kg_OR_50;25-50;Na2O;OR;;g/kg;xrf;Na2O_xrf_g/kg_OR_50
Na2O_xrf_g/kg_SB;0-25;Na2O;SB;;g/kg;xrf;Na2O_xrf_g/kg_SB
Na_2_µmol/l_OW;10-15;Na2;OW;;µmol/l;icp Bware;Na_2_µmol/l_OW
Na_2_µmol/l_PW;0-25;Na2;PW;;µmol/l;icp Bware;Na_2_µmol/l_PW
Na_CC_mg/kg_OR_25;0-25;Na;OR;;mg/kg;calciumchloride;Na_CC_mg/kg_OR_25
Na_CC_mg/kg_OR_50;25-50;Na;OR;;mg/kg;calciumchloride;Na_CC_mg/kg_OR_50
Na_CC_mg/kg_SB;0-25;Na;SB;;mg/kg;calciumchloride;Na_CC_mg/kg_SB
Na_M3_mg/kg_OR_25;0-25;Na;OR;;mg/kg;M3;Na_M3_mg/kg_OR_25
Na_M3_mg/kg_OR_50;25-50;Na;OR;;mg/kg;M3;Na_M3_mg/kg_OR_50
Na_mmol/kg DW_SB;0-25;Na;SB;;mmol/kg DW;icp Bware;Na_mmol/kg DW_SB
Na_mmol/l FW_SB;0-25;Na;SB;;mmol/l FW;icp Bware;Na_mmol/l FW_SB
Na_µmol/l_OW;10-15;Na;OW;;µmol/l;icp Bware;Na_µmol/l_OW
Na_µmol/l_PW;0-25;Na;PW;;µmol/l;icp Bware;Na_µmol/l_PW
Nb_xrf_mg/kg_OR_25;0-25;Nb;OR;;mg/kg;xrf;Nb_xrf_mg/kg_OR_25
Nb_xrf_mg/kg_OR_50;25-50;Nb;OR;;mg/kg;xrf;Nb_xrf_mg/kg_OR_50
Nb_xrf_mg/kg_SB;0-25;Nb;SB;;mg/kg;xrf;Nb_xrf_mg/kg_SB
Ni_CC_µg/kg_OR_25;0-25;Ni;OR;;µg/kg;calciumchloride;Ni_CC_µg/kg_OR_25
Ni_CC_µg/kg_OR_50;25-50;Ni;OR;;µg/kg;calciumchloride;Ni_CC_µg/kg_OR_50
Ni_CC_µg/kg_SB;0-25;Ni;SB;;µg/kg;calciumchloride;Ni_CC_µg/kg_SB
Ni_M3_mg/kg_OR_25;0-25;Ni;OR;;mg/kg;M3;Ni_M3_mg/kg_OR_25
Ni_M3_mg/kg_OR_50;25-50;Ni;OR;;mg/kg;M3;Ni_M3_mg/kg_OR_50
Ni_xrf_mg/kg_OR_25;0-25;Ni;OR;;mg/kg;xrf;Ni_xrf_mg/kg_OR_25
Ni_xrf_mg/kg_OR_50;25-50;Ni;OR;;mg/kg;xrf;Ni_xrf_mg/kg_OR_50
Ni_xrf_mg/kg_SB;0-25;Ni;SB;;mg/kg;xrf;Ni_xrf_mg/kg_SB
OS gehalte_%_SB;0-25;organisch stof;SB;;%;Bware;OS gehalte_%_SB
Oeverzone_2_veg_vorigjaar;;vegvorigjaar;OR;;;vegetatieopname;Oeverzone_2_veg_vorigjaar
Oeverzone_2a_breedte_cm;;breedte;OR;2a;cm;vegetatieopname;Oeverzone_2a_breedte_cm
Oeverzone_2a_emers_perc;;emers;OR;2a;%;vegetatieopname;Oeverzone_2a_emers (%)
Oeverzone_2a_gem_veg_hoogte_cm;;gemveghoogte;OR;2a;cm;vegetatieopname;Oeverzone_2a_gem_veg_hoogte_cm
Oeverzone_2a_hout_perc;;hout;OR;2a;%;vegetatieopname;Oeverzone_2a_hout (%)
Oeverzone_2a_kaal_perc;;kaal;OR;2a;%;vegetatieopname;Oeverzone_2a_kaal (%)
Oeverzone_2a_kraggen_perc;;kraggen;OR;2a;%;vegetatieopname;Oeverzone_2a_kraggen (%)
Oeverzone_2a_natans_perc;;natans;OR;2a;%;vegetatieopname;Oeverzone_2a_natans (%)
Oeverzone_2a_subm_tot_perc;;subm;OR;2a;%;vegetatieopname;Oeverzone_2a_subm_tot (%)
Oeverzone_2a_ter_gras_kruid_perc;;graskruiden;OR;2a;%;vegetatieopname;Oeverzone_2a_ter_gras_kruid (%)
Oeverzone_2b_Vertrapping_lengte_perc;;Vertrappinglengte;OR;2b;%;vegetatieopname;Oeverzone_2b_Vertrapping_lengte (%)
Oeverzone_2b_Vertrapping_schade;;Vertrappingschade;OR;2b;;vegetatieopname;Oeverzone_2b_Vertrapping_schade
Oeverzone_2b_breedte_cm;;breedte;OR;2b;cm;vegetatieopname;Oeverzone_2b_breedte_cm
Oeverzone_2b_emers_perc;;emers;OR;2b;%;vegetatieopname;Oeverzone_2b_emers (%)
Oeverzone_2b_gem_veg_hoogte_cm;;gemveghoogte;OR;2b;cm;vegetatieopname;Oeverzone_2b_gem_veg_hoogte_cm
Oeverzone_2b_hout_perc;;hout;OR;2b;%;vegetatieopname;Oeverzone_2b_hout (%)
Oeverzone_2b_kaal_perc;;kaal;OR;2b;%;vegetatieopname;Oeverzone_2b_kaal (%)
Oeverzone_2b_kraggen_perc;;kraggen;OR;2b;%;vegetatieopname;Oeverzone_2b_kraggen (%)
Oeverzone_2b_ter_gras_kruid_perc;;graskruiden;OR;2b;%;vegetatieopname;Oeverzone_2b_ter_gras_kruid (%)
Oeverzone_2b_ter_prodgras_perc;;prodgras;OR;2b;%;vegetatieopname;Oeverzone_2b_ter_prodgras (%)
P _M3_mg/kg_OR_25;0-25;P;OR;;mg/kg;M3;P _M3_mg/kg_OR_25
P _M3_mg/kg_OR_50;25-50;P;OR;;mg/kg;M3;P _M3_mg/kg_OR_50
P-AL mg/kg_OR_25;0-25;P-AL;OR;;mg/kg;OR;P-AL mg/kg_OR_25
P-AL mg/kg_OR_50;25-50;P-AL;OR;;mg/kg;OR;P-AL mg/kg_OR_50
P-AL mg/kg_SB;0-25;P-AL;SB;;mg/kg;pal;P-AL mg/kg_SB
P-PO4_CC_mg/kg_OR_25;0-25;P-PO4;OR;;mg/kg;calciumchloride;P-PO4_CC_mg/kg_OR_25
P-PO4_CC_mg/kg_OR_50;25-50;P-PO4;OR;;mg/kg;calciumchloride;P-PO4_CC_mg/kg_OR_50
P-PO4_CC_mg/kg_SB;0-25;P-PO4;SB;;mg/kg;calciumchloride;P-PO4_CC_mg/kg_SB
P2O5_xrf_g/kg_OR_25;0-25;P2O5;OR;;g/kg;xrf;P2O5_xrf_g/kg_OR_25
P2O5_xrf_g/kg_OR_50;25-50;P2O5;OR;;g/kg;xrf;P2O5_xrf_g/kg_OR_50
P2O5_xrf_g/kg_SB;0-25;P2O5;SB;;g/kg;xrf;P2O5_xrf_g/kg_SB
PO4_µmol/l_OW;10-15;PO4;OW;;µmol/l;icp Bware;PO4_µmol/l_OW
P_CC_mg/kg_OR_25;0-25;P;OR;;mg/kg;calciumchloride;P_CC_mg/kg_OR_25
P_CC_mg/kg_OR_50;25-50;P;OR;;mg/kg;calciumchloride;P_CC_mg/kg_OR_50
P_CC_mg/kg_SB;0-25;P;SB;;mg/kg;calciumchloride;P_CC_mg/kg_SB
P_CC_org_mg/kg_OR_25;0-25;P;OR;;org;calciumchloride;P_CC_org_mg/kg_OR_25
P_CC_org_mg/kg_OR_50;25-50;P;OR;;org;calciumchloride;P_CC_org_mg/kg_OR_50
P_CC_org_mg/kg_SB;0-25;P;SB;;mg/kg;calciumchloride;P_CC_org_mg/kg_SB
P_CO_mmol-/kg_OR_25;0-25;P;OR;;mmol-/kg;cohex;P_CO_mmol-/kg_OR_25
P_CO_mmol-/kg_OR_50;25-50;P;OR;;mmol-/kg;cohex;P_CO_mmol-/kg_OR_50
P_mmol/kg DW_SB;0-25;P;SB;;mmol/kg DW;icp Bware;P_mmol/kg DW_SB
P_mmol/l FW_SB;0-25;P;SB;;mmol/l FW;icp Bware;P_mmol/l FW_SB
P_µmol/l_OW;10-15;P;OW;;µmol/l;icp Bware;P_µmol/l_OW
P_µmol/l_PW;0-25;P;PW;;µmol/l;icp Bware;P_µmol/l_PW
Pb_xrf_mg/kg_OR_25;0-25;Pb;OR;;mg/kg;xrf;Pb_xrf_mg/kg_OR_25
Pb_xrf_mg/kg_OR_50;25-50;Pb;OR;;mg/kg;xrf;Pb_xrf_mg/kg_OR_50
Pb_xrf_mg/kg_SB;0-25;Pb;SB;;mg/kg;xrf;Pb_xrf_mg/kg_SB
Perceel_4_hout_perc;;hout;;4;%;vegetatieopname;Perceel_4_hout (%)
Perceel_4_kaal_perc;;kaal;;4;%;vegetatieopname;Perceel_4_kaal (%)
Perceel_4_ter_gras_kruid_perc;;graskruiden;;4;%;vegetatieopname;Perceel_4_ter_gras_kruid (%)
Perceel_4_ter_prodgras_perc;;prodgras;;4;%;vegetatieopname;Perceel_4_ter_prodgras (%)
S _M3_mg/kg_OR_25;0-25;S;OR;;mg/kg;M3;S _M3_mg/kg_OR_25
S _M3_mg/kg_OR_50;25-50;S;OR;;mg/kg;M3;S _M3_mg/kg_OR_50
SO3_xrf_g/kg_OR_25;0-25;SO3;OR;;g/kg;xrf;SO3_xrf_g/kg_OR_25
SO3_xrf_g/kg_OR_50;25-50;SO3;OR;;g/kg;xrf;SO3_xrf_g/kg_OR_50
SO3_xrf_g/kg_SB;0-25;SO3;SB;;g/kg;xrf;SO3_xrf_g/kg_SB
S_CC_mg/kg_OR_25;0-25;S;OR;;mg/kg;calciumchloride;S_CC_mg/kg_OR_25
S_CC_mg/kg_OR_50;25-50;S;OR;;mg/kg;calciumchloride;S_CC_mg/kg_OR_50
S_CC_mg/kg_SB;0-25;S;SB;;mg/kg;calciumchloride;S_CC_mg/kg_SB
S_CO_mmol-/kg_OR_25;0-25;S;OR;;mmol-/kg;cohex;S_CO_mmol-/kg_OR_25
S_CO_mmol-/kg_OR_50;25-50;S;OR;;mmol-/kg;cohex;S_CO_mmol-/kg_OR_50
S_mmol/kg DW_SB;0-25;S;SB;;mmol/kg DW;icp Bware;S_mmol/kg DW_SB
S_mmol/l FW_SB;0-25;S;SB;;mmol/l FW;icp Bware;S_mmol/l FW_SB
S_µmol/l_OW;10-15;S;OW;;µmol/l;icp Bware;S_µmol/l_OW
S_µmol/l_PW;0-25;S;PW;;µmol/l;icp Bware;S_µmol/l_PW
SiO2_xrf_g/kg_OR_25;0-25;SiO2;OR;;g/kg;xrf;SiO2_xrf_g/kg_OR_25
SiO2_xrf_g/kg_OR_50;25-50;SiO2;OR;;g/kg;xrf;SiO2_xrf_g/kg_OR_50
SiO2_xrf_g/kg_SB;0-25;SiO2;SB;;g/kg;xrf;SiO2_xrf_g/kg_SB
Si_mmol/kg DW_SB;0-25;Si;SB;;mmol/kg DW;icp Bware;Si_mmol/kg DW_SB
Si_mmol/l FW_SB;0-25;Si;SB;;mmol/l FW;icp Bware;Si_mmol/l FW_SB
Si_µmol/l_OW;10-15;Si;OW;;µmol/l;icp Bware;Si_µmol/l_OW
Si_µmol/l_PW;0-25;Si;PW;;µmol/l;icp Bware;Si_µmol/l_PW
Sr_xrf_mg/kg_OR_25;0-25;Sr;OR;;mg/kg;xrf;Sr_xrf_mg/kg_OR_25
Sr_xrf_mg/kg_OR_50;25-50;Sr;OR;;mg/kg;xrf;Sr_xrf_mg/kg_OR_50
Sr_xrf_mg/kg_SB;0-25;Sr;SB;;mg/kg;xrf;Sr_xrf_mg/kg_SB
TIC conc _µmol/l_OW;10-15;TIC conc;OW;;µmol/l;icp Bware;TIC conc _µmol/l_OW
TIC conc _µmol/l_PW;0-25;TIC conc;PW;;µmol/l;infrarood Bware;TIC conc _µmol/l_PW
TN_µmol/l_OW;10-15;TN;OW;;µmol/l;icp Bware;TN_µmol/l_OW
TOC [%]_OR_25;0-25;TOC;OR;;%;agroCares;TOC [%]_OR_25
TOC [%]_OR_50;25-50;TOC;OR;;%;agroCares;TOC [%]_OR_50
TOC [g/kg]_OR_25;0-25;TOC;OR;;g/kg;agroCares;TOC [g/kg]_OR_25
TOC [g/kg]_OR_50;25-50;TOC;OR;;g/kg;agroCares;TOC [g/kg]_OR_50
TOC_µmol/l_OW;10-15;TOC;OW;;µmol/l;icp Bware;TOC_µmol/l_OW
Terzone_3_Vertrapping_lengte_perc;;Vertrappinglengte;;3;%;vegetatieopname;Terzone_3_Vertrapping_lengte (%)
Terzone_3_Vertrapping_schade;;Vertrappingschade;;3;;vegetatieopname;Terzone_3_Vertrapping_schade
Terzone_3_breedte_cm;;breedte;;3;cm;vegetatieopname;Terzone_3_breedte_cm
Terzone_3_emers_perc;;emers;;3;%;vegetatieopname;Terzone_3_emers (%)
Terzone_3_gem_veg_hoogte_cm;;gemveghoogte;;3;cm;vegetatieopname;Terzone_3_gem_veg_hoogte_cm
Terzone_3_hout_perc;;hout;;3;%;vegetatieopname;Terzone_3_hout (%)
Terzone_3_kaal_perc;;kaal;;3;%;vegetatieopname;Terzone_3_kaal (%)
Terzone_3_ter_gras_kruid_perc;;graskruiden;;3;%;vegetatieopname;Terzone_3_ter_gras_kruid (%)
Terzone_3_ter_prodgras_perc;;prodgras;;3;%;vegetatieopname;Terzone_3_ter_prodgras (%)
TiO2_xrf_g/kg_OR_25;0-25;TiO2;OR;;g/kg;xrf;TiO2_xrf_g/kg_OR_25
TiO2_xrf_g/kg_OR_50;25-50;TiO2;OR;;g/kg;xrf;TiO2_xrf_g/kg_OR_50
TiO2_xrf_g/kg_SB;0-25;TiO2;SB;;g/kg;xrf;TiO2_xrf_g/kg_SB
V _M3_mg/kg_OR_25;0-25;V;OR;;mg/kg;M3;V _M3_mg/kg_OR_25
V _M3_mg/kg_OR_50;25-50;V;OR;;mg/kg;M3;V _M3_mg/kg_OR_50
V_CO_mmol+/kg_OR_25;0-25;V;OR;;mmol+/kg;cohex;V_CO_mmol+/kg_OR_25
V_CO_mmol+/kg_OR_50;25-50;V;OR;;mmol+/kg;cohex;V_CO_mmol+/kg_OR_50
V_xrf_mg/kg_OR_25;0-25;V;OR;;mg/kg;xrf;V_xrf_mg/kg_OR_25
V_xrf_mg/kg_OR_50;25-50;V;OR;;mg/kg;xrf;V_xrf_mg/kg_OR_50
V_xrf_mg/kg_SB;0-25;V;SB;;mg/kg;xrf;V_xrf_mg/kg_SB
Waterzone_1_FLAB_perc;;FLAB;OW;1;%;vegetatieopname;Waterzone_1_FLAB (%)
Waterzone_1_breedte_cm;;breedte;OW;1;cm;vegetatieopname;Waterzone_1_breedte_cm
Waterzone_1_emers_perc;;emers;OW;1;%;vegetatieopname;Waterzone_1_emers (%)
Waterzone_1_gem_veg_diepte_cm;;gemvegdiepte;OW;1;cm;vegetatieopname;Waterzone_1_gem_veg_diepte_cm
Waterzone_1_kaal_perc;;kaal;OW;1;%;vegetatieopname;Waterzone_1_kaal (%)
Waterzone_1_kroos_perc;;kroos;OW;1;%;vegetatieopname;Waterzone_1_kroos (%)
Waterzone_1_min_veg_diepte_cm;;minvegdiepte;OW;1;cm;vegetatieopname;Waterzone_1_min_veg_diepte_cm
Waterzone_1_natans_perc;;natans;OW;1;%;vegetatieopname;Waterzone_1_natans (%)
Waterzone_1_subm_tot_perc;;subm;OW;1;%;vegetatieopname;Waterzone_1_subm_tot (%)
ZN_CO_mmol+/kg_OR_25;0-25;ZN;OR;;mmol+/kg;cohex;ZN_CO_mmol+/kg_OR_25
ZN_CO_mmol+/kg_OR_50;25-50;ZN;OR;;mmol+/kg;cohex;ZN_CO_mmol+/kg_OR_50
Z_AFSLIB_SA_OR_25;0-25;Afslibbaar;OR;;%;liab;Afslibbaar_25
Z_AFSLIB_SA_OR_50;25-50;Afslibbaar;OR;;%;liab;Afslibbaar_25
Z_B_CACL2_OR_25;0-25;Boron (CaCl2);OR;;µg/kg;liab;Boron (CaCl2)_25
Z_B_CACL2_OR_50;25-50;Boron (CaCl2);OR;;µg/kg;liab;Boron (CaCl2)_25
Z_CACO3_IF_OR_25;0-25;inorganic carbon;OR;;%;liab;inorganic carbon_25
Z_CACO3_IF_OR_50;25-50;inorganic carbon;OR;;%;liab;inorganic carbon_25
Z_CLAY_SA_OR_25;0-25;kleigehalte;OR;;%;liab;kleigehalte_25
Z_CLAY_SA_OR_50;25-50;kleigehalte;OR;;%;liab;kleigehalte_25
Z_CO_CACL2_OR_25;0-25;Cobalt (CaCl2);OR;;µg/kg;liab;Cobalt (CaCl2)_25
Z_CO_CACL2_OR_50;25-50;Cobalt (CaCl2);OR;;µg/kg;liab;Cobalt (CaCl2)_25
Z_CU_CACL2_OR_25;0-25;Copper (CaCl2);OR;;µg/kg;liab;Copper (CaCl2)_25
Z_CU_CACL2_OR_50;25-50;Copper (CaCl2);OR;;µg/kg;liab;Copper (CaCl2)_25
Z_FE_CACL2_OR_25;0-25;Iron (CaCl2);OR;;µg/kg;liab;Iron (CaCl2)_25
Z_FE_CACL2_OR_50;25-50;Iron (CaCl2);OR;;µg/kg;liab;Iron (CaCl2)_25
Z_K_CACL2_OR_25;0-25;Potassium (CaCl2);OR;;mg K / kg;liab;Potassium (CaCl2)_25
Z_K_CACL2_OR_50;25-50;Potassium (CaCl2);OR;;mg K / kg;liab;Potassium (CaCl2)_25
Z_K_HCL_OR_25;0-25;K-HCl;OR;;mg K2O / kg;liab;K-HCl_25
Z_K_HCL_OR_50;25-50;K-HCl;OR;;mg K2O / kg;liab;K-HCl_25
Z_MG_CACL2_OR_25;0-25;Magnesium (CaCl2);OR;;mg/kg;liab;Magnesium (CaCl2)_25
Z_MG_CACL2_OR_50;25-50;Magnesium (CaCl2);OR;;mg/kg;liab;Magnesium (CaCl2)_25
Z_MN_CACL2_OR_25;0-25;Manganese (CaCl2);OR;;µg/kg;liab;Manganese (CaCl2)_25
Z_MN_CACL2_OR_50;25-50;Manganese (CaCl2);OR;;µg/kg;liab;Manganese (CaCl2)_25
Z_NA_CACL2_OR_25;0-25;Sodium (CaCl2);OR;;mg/kg;liab;Sodium (CaCl2)_25
Z_NA_CACL2_OR_50;25-50;Sodium (CaCl2);OR;;mg/kg;liab;Sodium (CaCl2)_25
Z_OM1_OF_OR_25;0-25;organisch stof;OR;;%;liab;organisch stof_25
Z_OM1_OF_OR_50;25-50;organisch stof;OR;;%;liab;organisch stof_25
Z_P_AL_OR_25;0-25;P-AL;OR;;mg P2O5 / 100g;liab;P-AL_25
Z_P_AL_OR_50;25-50;P-AL;OR;;mg P2O5 / 100g;liab;P-AL_25
Z_P_CACL2_OR_25;0-25;P (CaCl2);OR;;mg/kg;liab;P (CaCl2)_25
Z_P_CACL2_OR_50;25-50;P (CaCl2);OR;;mg/kg;liab;P (CaCl2)_25
Z_P_WA1_OR_25;0-25;P (water);OR;;mg P2O5 / l;liab;P (water)_25
Z_P_WA1_OR_50;25-50;P (water);OR;;mg P2O5 / l;liab;P (water)_25
Z_SAND_SA_OR_25;0-25;zandgehalte;OR;;%;liab;zandgehalte_25
Z_SAND_SA_OR_50;25-50;zandgehalte;OR;;%;liab;zandgehalte_25
Z_SE_CACL2_OR_25;0-25;Selenium (CaCl2);OR;;µg/kg;liab;Selenium (CaCl2)_25
Z_SE_CACL2_OR_50;25-50;Selenium (CaCl2);OR;;µg/kg;liab;Selenium (CaCl2)_25
Z_SILT_SA_OR_25;0-25;slibgehalte (monster);OR;;%;liab;slibgehalte (monster)_25
Z_SILT_SA_OR_50;25-50;slibgehalte (monster);OR;;%;liab;slibgehalte (monster)_25
Z_SI_CACL2_OR_25;0-25;Silicium (CaCl2);OR;;µg/kg;liab;Silicium (CaCl2)_25
Z_SI_CACL2_OR_50;25-50;Silicium (CaCl2);OR;;µg/kg;liab;Silicium (CaCl2)_25
Z_SSUPPLY_RT_OR_25;0-25;SLV;OR;;;liab;SLV_25
Z_SSUPPLY_RT_OR_50;25-50;SLV;OR;;;liab;SLV_25
Z_ZN_CACL2_OR_25;0-25;Zinc (CaCl2) ug / kg;OR;;µg/kg;liab;Zinc (CaCl2) ug / kg_25
Z_ZN_CACL2_OR_50;25-50;Zinc (CaCl2) ug / kg;OR;;µg/kg;liab;Zinc (CaCl2) ug / kg_25
Zn_CC_µg/kg_OR_25;0-25;Zn;OR;;µg/kg;calciumchloride;Zn_CC_µg/kg_OR_25
Zn_CC_µg/kg_OR_50;25-50;Zn;OR;;µg/kg;calciumchloride;Zn_CC_µg/kg_OR_50
Zn_CC_µg/kg_SB;0-25;Zn;SB;;µg/kg;calciumchloride;Zn_CC_µg/kg_SB
Zn_M3_mg/kg_OR_25;0-25;Zn;OR;;mg/kg;M3;Zn_M3_mg/kg_OR_25
Zn_M3_mg/kg_OR_50;25-50;Zn;OR;;mg/kg;M3;Zn_M3_mg/kg_OR_50
Zn_mmol/kg DW_SB;0-25;Zn;SB;;mmol/kg DW;icp Bware;Zn_mmol/kg DW_SB
Zn_mmol/l FW_SB;0-25;Zn;SB;;mmol/l FW;icp Bware;Zn_mmol/l FW_SB
Zn_xrf_mg/kg_OR_25;0-25;Zn;OR;;mg/kg;xrf;Zn_xrf_mg/kg_OR_25
Zn_xrf_mg/kg_OR_50;25-50;Zn;OR;;mg/kg;xrf;Zn_xrf_mg/kg_OR_50
Zn_xrf_mg/kg_SB;0-25;Zn;SB;;mg/kg;xrf;Zn_xrf_mg/kg_SB
Zn_µmol/l_OW;10-15;Zn;OW;;µmol/l;icp Bware;Zn_µmol/l_OW
Zn_µmol/l_PW;0-25;Zn;PW;;µmol/l;icp Bware;Zn_µmol/l_PW
afwatopp;;afwatopp;;;;geodata;afwatopp
alk_meq/l_OW;10-15;alk;OW;;meq/l;icp Bware;alk_meq/l_OW
alk_meq/l_PW;0-25;alk;PW;;meq/l;Bware;alk_meq/l_PW
basen_bez_OR_25;0-25;basen;OR;;OR;berekend;basen_bez_OR_25
basen_bez_OR_50;25-50;basenbezetting;OR;;OR;berekend;basen_bez_OR_50
blauwalg_ug/l_OW;10-15;blauwalg;OW;;ug/l;icp Bware;blauwalg_ug/l_OW
breedtewl;;breedtewl;;;;geodata;breedtewl
bruinalg_ug/l_OW;10-15;bruinalg;OW;;ug/l;icp Bware;bruinalg_ug/l_OW
bulk density_kg DW/L FW_SB;0-25;bulk density;SB;;kg DW/L FW;Bware;bulk density_kg DW/L FW_SB
clusters;;clusters;;;;geodata;clusters
clusters_clustber;;clusters;;;;;clusters_clustber
doorzicht2_mid_cm;10-15;doorzicht;OW;;cm;;doorzicht2_mid_cm
drglg;;drooglegging;;;m;;drglg
drlg;;drlg;;;;geodata;drlg
ext.__OW;10-15;extinctie;OW;;;icp Bware;ext.__OW
ext__PW;0-25;ext;PW;;;Bware;ext__PW
feP_CC_SB_SB;0-25;feP;SB;;;calciumchloride;feP_CC_SB_SB
feP_DW_SB;0-25;feP;SB;;DW;icp Bware;feP_DW_SB
feP_OR_CC_OR_25;0-25;feP;OR;;CC;OR;feP_OR_CC_OR_25
feP_OR_CC_OR_50;25-50;feP;OR;;CC;OR;feP_OR_CC_OR_50
feP_OR_XRF_OR_25;0-25;feP;OR;;XRF;OR;feP_OR_XRF_OR_25
feP_OR_XRF_OR_50;25-50;feP;OR;;XRF;OR;feP_OR_XRF_OR_50
feP_PW;0-25;feP;PW;;;icp Bware;feP_PW
feP_XRF_SB_SB;0-25;feP;SB;;;xrf;feP_XRF_SB_SB
feS_CC_SB_SB;0-25;feS;SB;;;calciumchloride;feS_CC_SB_SB
feS_DW_SB;0-25;feS;SB;;DW;icp Bware;feS_DW_SB
feS_OR_CC_OR_25;0-25;feS;OR;;CC;OR;feS_OR_CC_OR_25
feS_OR_CC_OR_50;25-50;feS;OR;;CC;OR;feS_OR_CC_OR_50
feS_OR_XRF_OR_25;0-25;feS;OR;;XRF;OR;feS_OR_XRF_OR_25
feS_OR_XRF_OR_50;25-50;feS;OR;;XRF;OR;feS_OR_XRF_OR_50
feS_PW;0-25;feS;PW;;;icp Bware;feS_PW
feS_XRF_SB_SB;0-25;feS;SB;;;xrf;feS_XRF_SB_SB
groenalg_ug/l_OW;10-15;groenalg;OW;;ug/l;icp Bware;groenalg_ug/l_OW
holleoever;0-25;holleoever;SB;;;insitu;holleoever
insteek_(10,20];;indringingsweerstand;;;mPa;penetrometer;insteek_(10,20]
insteek_(20,30];;indringingsweerstand;;;mPa;penetrometer;insteek_(20,30]
insteek_(30,40];;indringingsweerstand;;;mPa;penetrometer;insteek_(30,40]
insteek_(40,50];;indringingsweerstand;;;mPa;penetrometer;insteek_(40,50]
insteek_(50,85];;indringingsweerstand;;;mPa;penetrometer;insteek_(50,85]
insteek_[0,10];;indringingsweerstand;;;mPa;penetrometer;insteek_[0,10]
max_slib;;slibdikte;;;m;;max_slib
max_wtd;;waterdiepte;;;m;;max_wtd
nr lab_OW;10-15;nr lab;OW;;OW;icp Bware;nr lab_OW
nr lab_PW;0-25;nr lab;PW;;PW;Bware;nr lab_PW
oever_(10,20];;indringingsweerstand;;;mPa;penetrometer;oever_(10,20]
oever_(20,30];;indringingsweerstand;;;mPa;penetrometer;oever_(20,30]
oever_(30,40];;indringingsweerstand;;;mPa;penetrometer;oever_(30,40]
oever_(40,50];;indringingsweerstand;;;mPa;penetrometer;oever_(40,50]
oever_(50,85];;indringingsweerstand;;;mPa;penetrometer;oever_(50,85]
oever_[0,10];;indringingsweerstand;;;mPa;penetrometer;oever_[0,10]
pH_CC_OR_25;0-25;pH;OR;;OR;calciumchloride;pH_CC_OR_25
pH_CC_OR_50;25-50;pH;OR;;OR;calciumchloride;pH_CC_OR_50
pH_CC_SB;0-25;pH;SB;;;calciumchloride;pH_CC_SB
pH_OW;10-15;pH;OW;;OW;icp Bware;pH_OW
pH_PW;0-25;pH;PW;;PW;Bware;pH_PW
perceel_(10,20];;indringingsweerstand;;;mPa;penetrometer;perceel_(10,20]
perceel_(20,30];;indringingsweerstand;;;mPa;penetrometer;perceel_(20,30]
perceel_(30,40];;indringingsweerstand;;;mPa;penetrometer;perceel_(30,40]
perceel_(40,50];;indringingsweerstand;;;mPa;penetrometer;perceel_(40,50]
perceel_(50,85];;indringingsweerstand;;;mPa;penetrometer;perceel_(50,85]
perceel_[0,10];;indringingsweerstand;;;mPa;penetrometer;perceel_[0,10]
slib_O2_mgL;0-25;O2;SB;;mg/l;insitu;slib_O2_mgL
